CODIGO_UNICO	TIPO_INSTITUCION	INSTITUCION	SEDE	REGION	CARRERA	HORARIO	NOTAS_EM	PRUEBA_LENGUAJE	PRUEBA_MATEMATICAS	PRUEBA_HISTORIA	PRUEBA_CIENCIAS	OTROS	VACANTES_PRIMER_SEMESTRE	VACANTES_SEGUNDO_SEMESTRE	VALOR_MATRICULA	VALOR_ARANCEL	DURACION_SEMESTRES	AREA	ACREDITACION_CARRERA
I100S10C176J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	CONSTRUCCION CIVIL	Vespertino	0	0	0	0	0	0	35	0	 202.000 	 1.333.000 	8	Tecnología	No Acreditada
I100S10C22J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	INGENIERIA EN NEGOCIOS INTERNACIONALES	Vespertino	0	0	0	0	0	0	0	0	 201.000 	 1.189.000 	8	Administración y Comercio	No Acreditada
I100S10C2J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	DISEÑO GRAFICO PROFESIONAL	Diurno	0	0	0	0	0	0	22	0	 214.000 	 1.254.000 	8	Arte y Arquitectura	No Acreditada
I100S10C81J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE PUNTA ARENAS	XII REGIÓN	INGENIERIA EN MAQUINARIA Y VEHICULOS AUTOMOTRICES	Vespertino	0	0	0	0	0	0	0	0	 214.000 	 1.361.000 	8	Tecnología	No Acreditada
I100S13C10J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Diurno	0	0	0	0	0	0	102	0	 254.000 	 1.429.000 	8	Tecnología	No Acreditada
I100S13C10J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Vespertino	0	0	0	0	0	0	67	0	 254.000 	 1.429.000 	8	Tecnología	No Acreditada
I100S13C126J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	INGENIERIA EN MINAS	Diurno	0	0	0	0	0	0	168	0	 252.000 	 1.342.000 	8	Tecnología	No Acreditada
I100S13C126J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	INGENIERIA EN MINAS	Vespertino	0	0	0	0	0	0	56	0	 252.000 	 1.342.000 	8	Tecnología	No Acreditada
I100S13C129J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	INGENIERIA EN GEOMENSURA	Diurno	0	0	0	0	0	0	40	0	 252.000 	 1.342.000 	8	Tecnología	No Acreditada
I100S13C144J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	INGENIERIA MECANICA EN MANTENIMIENTO INDUSTRIAL	Diurno	0	0	0	0	0	0	17	0	 258.000 	 1.453.000 	8	Tecnología	No Acreditada
I100S13C144J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	INGENIERIA MECANICA EN MANTENIMIENTO INDUSTRIAL	Vespertino	0	0	0	0	0	0	51	0	 258.000 	 1.453.000 	8	Tecnología	No Acreditada
I100S13C149J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Diurno	0	0	0	0	0	0	144	0	 258.000 	 1.453.000 	8	Tecnología	No Acreditada
I100S13C149J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Vespertino	0	0	0	0	0	0	72	0	 258.000 	 1.453.000 	8	Tecnología	No Acreditada
I100S13C167J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	INGENIERIA EN METALURGIA	Diurno	0	0	0	0	0	0	28	0	 252.000 	 1.342.000 	8	Tecnología	No Acreditada
I100S13C167J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	INGENIERIA EN METALURGIA	Vespertino	0	0	0	0	0	0	28	0	 252.000 	 1.342.000 	8	Tecnología	No Acreditada
I100S13C24J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	SERVICIO SOCIAL	Diurno	0	0	0	0	0	0	0	0	 254.000 	 1.428.000 	8	Ciencias Sociales	No Acreditada
I100S13C2J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	DISEÑO GRAFICO PROFESIONAL	Diurno	0	0	0	0	0	0	70	0	 264.000 	 1.456.000 	8	Arte y Arquitectura	No Acreditada
I100S13C2J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	DISEÑO GRAFICO PROFESIONAL	Vespertino	0	0	0	0	0	0	25	0	 264.000 	 1.456.000 	8	Arte y Arquitectura	No Acreditada
I100S13C74J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	PUBLICIDAD	Diurno	0	0	0	0	0	0	50	0	 258.000 	 1.534.000 	8	Ciencias Sociales	No Acreditada
I100S13C81J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	INGENIERIA EN MAQUINARIA Y VEHICULOS AUTOMOTRICES	Diurno	0	0	0	0	0	0	0	0	 258.000 	 1.453.000 	8	Tecnología	No Acreditada
I100S13C81J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE MAIPU	REGIÓN METROPOLITANA	INGENIERIA EN MAQUINARIA Y VEHICULOS AUTOMOTRICES	Vespertino	0	0	0	0	0	0	0	0	 258.000 	 1.453.000 	8	Tecnología	No Acreditada
I100S14C10J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIÓN	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Diurno	0	0	0	0	0	0	50	0	 190.000 	 1.311.000 	8	Tecnología	No Acreditada
I100S14C10J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIÓN	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Vespertino	0	0	0	0	0	0	25	0	 190.000 	 1.311.000 	8	Tecnología	No Acreditada
I100S14C121J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIÓN	INGENIERIA EN CONECTIVIDAD Y REDES	Vespertino	0	0	0	0	0	0	0	0	 182.000 	 1.300.000 	8	Tecnología	No Acreditada
I100S14C149J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIÓN	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Diurno	0	0	0	0	0	0	25	0	 190.000 	 1.228.000 	8	Tecnología	No Acreditada
I100S14C149J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIÓN	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Vespertino	0	0	0	0	0	0	30	0	 190.000 	 1.228.000 	8	Tecnología	No Acreditada
I100S14C151J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIÓN	INGENIERIA EN ELECTRONICA	Vespertino	0	0	0	0	0	0	0	0	 181.000 	 1.100.000 	8	Tecnología	No Acreditada
I100S14C168J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIÓN	INGENIERIA EN TELECOMUNICACIONES, CONECTIVIDAD Y REDES	Vespertino	0	0	0	0	0	0	0	0	 190.000 	 1.345.000 	8	Tecnología	No Acreditada
I100S14C176J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIÓN	CONSTRUCCION CIVIL	Diurno	0	0	0	0	0	0	20	0	 190.000 	 1.360.000 	8	Tecnología	No Acreditada
I100S14C24J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIÓN	SERVICIO SOCIAL	Diurno	0	0	0	0	0	0	0	0	 190.000 	 1.270.000 	8	Ciencias Sociales	No Acreditada
I100S14C2J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIÓN	DISEÑO GRAFICO PROFESIONAL	Diurno	0	0	0	0	0	0	30	0	 190.000 	 1.276.000 	8	Arte y Arquitectura	No Acreditada
I100S14C81J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIÓN	INGENIERIA EN MAQUINARIA Y VEHICULOS AUTOMOTRICES	Diurno	0	0	0	0	0	0	0	0	 190.000 	 1.270.000 	8	Tecnología	No Acreditada
I100S14C81J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE ARICA	XV REGIÓN	INGENIERIA EN MAQUINARIA Y VEHICULOS AUTOMOTRICES	Vespertino	0	0	0	0	0	0	0	0	 190.000 	 1.270.000 	8	Tecnología	No Acreditada
I100S15C10J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Diurno	0	0	0	0	0	0	65	0	 273.000 	 1.360.000 	8	Tecnología	No Acreditada
I100S15C10J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Vespertino	0	0	0	0	0	0	30	0	 273.000 	 1.360.000 	8	Tecnología	No Acreditada
I100S15C111J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERO CONSTRUCTOR	Diurno	0	0	0	0	0	0	0	0	 244.000 	 1.332.000 	10	Tecnología	No Acreditada
I100S15C111J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERO CONSTRUCTOR	Vespertino	0	0	0	0	0	0	0	0	 244.000 	 1.332.000 	10	Tecnología	No Acreditada
I100S15C115J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	CONSTRUCCION CIVIL MENCION EDIFICACION	Diurno	0	0	0	0	0	0	0	0	 244.000 	 1.332.000 	8	Tecnología	No Acreditada
I100S15C115J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	CONSTRUCCION CIVIL MENCION EDIFICACION	Vespertino	0	0	0	0	0	0	0	0	 244.000 	 1.332.000 	8	Tecnología	No Acreditada
I100S15C119J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN LOGISTICA	Vespertino	0	0	0	0	0	0	0	0	 250.000 	 1.296.000 	8	Administración y Comercio	No Acreditada
I100S15C126J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN MINAS	Diurno	0	0	0	0	0	0	60	0	 250.000 	 1.360.000 	8	Tecnología	No Acreditada
I100S15C126J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN MINAS	Vespertino	0	0	0	0	0	0	20	0	 250.000 	 1.360.000 	8	Tecnología	No Acreditada
I100S15C133J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN MINAS MENCION PROCESOS MINEROS	Diurno	0	0	0	0	0	0	0	0	 244.000 	 1.332.000 	8	Tecnología	No Acreditada
I100S15C136J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	ADMINISTRACION HOTELERA INTERNACIONAL	Diurno	0	0	0	0	0	0	0	0	 273.000 	 1.551.000 	8	Administración y Comercio	No Acreditada
I100S15C144J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA MECANICA EN MANTENIMIENTO INDUSTRIAL	Diurno	0	0	0	0	0	0	25	0	 273.000 	 1.508.000 	8	Tecnología	No Acreditada
I100S15C144J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA MECANICA EN MANTENIMIENTO INDUSTRIAL	Vespertino	0	0	0	0	0	0	0	0	 273.000 	 1.508.000 	8	Tecnología	No Acreditada
I100S15C147J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	PSICOPEDAGOGIA	Diurno	0	0	0	0	0	0	0	0	 202.000 	 1.380.000 	8	Ciencias Sociales	No Acreditada
I100S15C149J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Diurno	0	0	0	0	0	0	30	0	 273.000 	 1.508.000 	8	Tecnología	No Acreditada
I100S15C149J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Vespertino	0	0	0	0	0	0	25	0	 273.000 	 1.508.000 	8	Tecnología	No Acreditada
I100S15C14J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	CONTADOR AUDITOR	Vespertino	0	0	0	0	0	0	0	0	 250.000 	 1.296.000 	8	Administración y Comercio	No Acreditada
I100S15C150J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	ADMINISTRACION GASTRONOMICA INTERNACIONAL	Diurno	0	0	0	0	0	0	30	0	 273.000 	 1.720.000 	8	Administración y Comercio	No Acreditada
I100S15C167J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN METALURGIA	Diurno	0	0	0	0	0	0	30	0	 250.000 	 1.360.000 	8	Tecnología	No Acreditada
I100S15C167J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN METALURGIA	Vespertino	0	0	0	0	0	0	25	0	 250.000 	 1.360.000 	8	Tecnología	No Acreditada
I100S15C168J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN TELECOMUNICACIONES, CONECTIVIDAD Y REDES	Diurno	0	0	0	0	0	0	0	0	 250.000 	 1.360.000 	8	Tecnología	No Acreditada
I100S15C176J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	CONSTRUCCION CIVIL	Diurno	0	0	0	0	0	0	0	0	 250.000 	 1.360.000 	8	Tecnología	No Acreditada
I100S15C176J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	CONSTRUCCION CIVIL	Vespertino	0	0	0	0	0	0	0	0	 250.000 	 1.360.000 	8	Tecnología	No Acreditada
I100S15C180J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	ADMINISTRACION DE HOTELES Y RESTAURANTES	Diurno	0	0	0	0	0	0	0	0	 273.000 	 1.551.000 	8	Administración y Comercio	No Acreditada
I100S15C24J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	SERVICIO SOCIAL	Diurno	0	0	0	0	0	0	0	0	 198.000 	 1.360.000 	8	Ciencias Sociales	No Acreditada
I100S15C2J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	DISEÑO GRAFICO PROFESIONAL	Diurno	0	0	0	0	0	0	45	0	 202.000 	 1.551.000 	8	Arte y Arquitectura	No Acreditada
I100S15C64J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN QUIMICA INDUSTRIAL	Diurno	0	0	0	0	0	0	0	0	 198.000 	 1.423.000 	9	Tecnología	No Acreditada
I100S15C74J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	PUBLICIDAD	Diurno	0	0	0	0	0	0	0	0	 202.000 	 1.551.000 	8	Ciencias Sociales	No Acreditada
I100S15C81J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN MAQUINARIA Y VEHICULOS AUTOMOTRICES	Diurno	0	0	0	0	0	0	0	0	 273.000 	 1.508.000 	8	Tecnología	No Acreditada
I100S15C81J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE IQUIQUE	I REGIÓN	INGENIERIA EN MAQUINARIA Y VEHICULOS AUTOMOTRICES	Vespertino	0	0	0	0	0	0	0	0	 273.000 	 1.508.000 	8	Tecnología	No Acreditada
I100S16C10J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE COPIAPO	III REGIÓN	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Diurno	0	0	0	0	0	0	90	0	 214.000 	 1.270.000 	8	Tecnología	No Acreditada
I100S16C10J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE COPIAPO	III REGIÓN	INGENIERIA EN PREVENCION DE RIESGOS, CALIDAD Y AMBIENTE	Vespertino	0	0	0	0	0	0	30	0	 214.000 	 1.270.000 	8	Tecnología	No Acreditada
I100S16C126J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE COPIAPO	III REGIÓN	INGENIERIA EN MINAS	Diurno	0	0	0	0	0	0	30	0	 222.000 	 1.330.000 	8	Tecnología	No Acreditada
I100S16C126J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE COPIAPO	III REGIÓN	INGENIERIA EN MINAS	Vespertino	0	0	0	0	0	0	30	0	 222.000 	 1.330.000 	8	Tecnología	No Acreditada
I100S16C145J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE COPIAPO	III REGIÓN	INGENIERIA MECANICA EN PRODUCCION INDUSTRIAL	Vespertino	0	0	0	0	0	0	20	0	 220.000 	 1.353.000 	8	Tecnología	No Acreditada
I100S16C147J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE COPIAPO	III REGIÓN	PSICOPEDAGOGIA	Diurno	0	0	0	0	0	0	0	0	 209.000 	 1.277.000 	8	Ciencias Sociales	No Acreditada
I100S16C149J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE COPIAPO	III REGIÓN	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Diurno	0	0	0	0	0	0	25	0	 220.000 	 1.333.000 	8	Tecnología	No Acreditada
I100S16C149J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE COPIAPO	III REGIÓN	INGENIERIA EN MAQUINARIA, VEHICULOS AUTOMOTRICES Y SISTEMAS ELECTRONICOS	Vespertino	0	0	0	0	0	0	25	0	 220.000 	 1.333.000 	8	Tecnología	No Acreditada
I100S16C14J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE COPIAPO	III REGIÓN	CONTADOR AUDITOR	Vespertino	0	0	0	0	0	0	0	0	 204.000 	 1.249.000 	8	Administración y Comercio	No Acreditada
I100S16C160J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE COPIAPO	III REGIÓN	INGENIERIA EN MAQUINARIA PESADA Y VEHICULOS AUTOMOTRICES	Diurno	0	0	0	0	0	0	0	0	 220.000 	 1.333.000 	8	Tecnología	No Acreditada
I100S16C160J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE COPIAPO	III REGIÓN	INGENIERIA EN MAQUINARIA PESADA Y VEHICULOS AUTOMOTRICES	Vespertino	0	0	0	0	0	0	40	0	 220.000 	 1.333.000 	8	Tecnología	No Acreditada
I100S16C81J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE COPIAPO	III REGIÓN	INGENIERIA EN MAQUINARIA Y VEHICULOS AUTOMOTRICES	Vespertino	0	0	0	0	0	0	0	0	 214.000 	 1.333.000 	8	Tecnología	No Acreditada
I100S19C122J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	ADMINISTRACION DE EMPRESAS TURISTICAS MENCION VIAJES Y TURISMO	Diurno	0	0	0	0	0	0	0	0	 384.000 	 2.275.000 	8	Administración y Comercio	No Acreditada
I100S19C123J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	ADMINISTRACION DE EMPRESAS TURISTICAS MENCION TURISMO AVENTURA	Diurno	0	0	0	0	0	0	25	0	 384.000 	 2.275.000 	8	Administración y Comercio	No Acreditada
I100S19C127J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	DISEÑO INDUSTRIAL DE MOBILIARIO Y PRODUCTO	Diurno	0	0	0	0	0	0	34	0	 310.000 	 1.956.000 	8	Tecnología	No Acreditada
I100S19C128J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	DISEÑO DE VESTUARIO	Diurno	0	0	0	0	0	0	70	0	 310.000 	 1.956.000 	8	Arte y Arquitectura	No Acreditada
I100S19C136J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	ADMINISTRACION HOTELERA INTERNACIONAL	Diurno	0	0	0	0	0	0	0	0	 384.000 	 2.275.000 	8	Administración y Comercio	No Acreditada
I100S19C147J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	PSICOPEDAGOGIA	Diurno	0	0	0	0	0	0	0	0	 255.000 	 1.478.000 	8	Ciencias Sociales	No Acreditada
I100S19C14J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	CONTADOR AUDITOR	Diurno	0	0	0	0	0	0	0	0	 310.000 	 1.618.000 	8	Administración y Comercio	No Acreditada
I100S19C14J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	CONTADOR AUDITOR	Vespertino	0	0	0	0	0	0	0	0	 310.000 	 1.618.000 	8	Administración y Comercio	No Acreditada
I100S19C150J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	ADMINISTRACION GASTRONOMICA INTERNACIONAL	Diurno	0	0	0	0	0	0	213	15	 384.000 	 2.275.000 	8	Administración y Comercio	No Acreditada
I100S19C157J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	COMUNICACION EMPRESARIAL	Diurno	0	0	0	0	0	0	0	0	 283.000 	 1.785.000 	8	Ciencias Sociales	No Acreditada
I100S19C159J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	ADMINISTRACION EN ALIMENTACION COLECTIVA	Diurno	0	0	0	0	0	0	0	0	 283.000 	 1.767.000 	8	Administración y Comercio	No Acreditada
I100S19C168J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	INGENIERIA EN TELECOMUNICACIONES, CONECTIVIDAD Y REDES	Diurno	0	0	0	0	0	0	30	0	 310.000 	 1.618.000 	8	Tecnología	No Acreditada
I100S19C168J2V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	INGENIERIA EN TELECOMUNICACIONES, CONECTIVIDAD Y REDES	Vespertino	0	0	0	0	0	0	25	0	 310.000 	 1.618.000 	8	Tecnología	No Acreditada
I100S19C180J1V1	INSTITUTO PROFESIONAL	IP INACAP	SEDE APOQUINDO	REGIÓN METROPOLITANA	ADMINISTRACION DE HOTELES Y RESTAURANTES	Diurno	0	0	0	0	0	0	85	0	 384.000 	 2.275.000 	8	Administración y Comercio	No Acreditada
