ID	institucion	acreditacion	carrera	area	subvencionados	desercionagno1	duracion	empleabilidadagno1	ingresoagno4	arancel
568	IP Instituto de Estudios Bancarios Guillermo Subercaseaux	4 años	Ingeniería Financiera	Administración y Comercio	99,3%	s/i	 9,3 	99,0%	s/i	 $ 1.350.000 
584	IP Duoc UC	7 años	Ingeniería en Gestión Logística	Administración y Comercio	96,8%	21,0%	 s/i 	89,2%	s/i	 $ 1.690.299 
585	Universidad del Desarrollo	5 años	Ingeniería en Ejecución en Administración mención Marketing y Finanzas Aplicadas	Administración y Comercio	55,6%	36,7%	 9,8 	90,4%	s/i	 $ 1.993.000 
588	IP La Araucana	4 años	Ingeniería en Gestión de Marketing	Administración y Comercio	95,8%	50,0%	 s/i 	94,8%	 De $600 mil a $800 mil 	 $ 1.184.889 
587	IP Duoc UC	7 años	Ingeniería en Marketing	Administración y Comercio	90,8%	24,6%	 8,8 	75,4%	s/i	 $ 1.762.008 
630	IP Duoc UC	7 años	Ingeniería en Administración de Recursos Humanos	Administración y Comercio	96,5%	14,1%	 s/i 	93,2%	s/i	 $ 1.740.587 
631	IP La Araucana	4 años	Ingeniería en Gestión de Recursos Humanos	Administración y Comercio	98,1%	38,2%	 10,0 	88,7%	 De $600 mil a $800 mil 	 $ 1.139.782 
1132	CFT Manpower	No	Asistente Ejecutivo Bilingüe	Administración y Comercio	91,3%	31,8%	 6,4 	79,8%	s/i	 $ 1.438.679 
1130	IP ESUCOMEX	2 años	Secretariado Ejecutivo Bilingüe	Administración y Comercio	97,8%	62,3%	 7,2 	54,5%	s/i	 $ 690.989 
1131	CFT Instituto de Secretariado INSEC	No	Secretariado Ejecutivo Bilingüe	Administración y Comercio	95,7%	40,8%	 7,1 	59,4%	 Menor a $400 mil 	 $ 616.800 
1133	CFT Simón Bolívar	No	Secretariado Ejecutivo Bilingüe	Administración y Comercio	100,0%	39,0%	 6,9 	62,7%	 Menor a $400 mil 	 $ 495.000 
1136	CFT Los Leones	No	Secretariado Ejecutivo Computacional	Administración y Comercio	100,0%	53,2%	 6,7 	71,0%	 Menor a $400 mil 	 $ 491.767 
1137	CFT Massachusetts	No	Secretariado Ejecutivo Computacional mención Jurídica o Relaciones Públicas	Administración y Comercio	100,0%	20,8%	 s/i 	56,0%	s/i	 $ 599.500 
1134	CFT Diego Portales	No	Secreatariado Ejecutivo Computacional	Administración y Comercio	s/i	s/i	 6,4 	42,1%	 Menor a $400 mil 	 $ 668.000 
1140	CFT DUOC UC	6 años	Asistente Ejecutivo	Administración y Comercio	99,1%	25,7%	 6,5 	80,9%	s/i	 $ 1.080.000 
1141	CFT Instituto de Secretariado INSEC	No	Secretariado Ejecutivo Gerencial	Administración y Comercio	94,7%	40,5%	 6,3 	59,2%	 Menor a $400 mil 	 $ 666.011 
1139	CFT Crecic	No	Secretariado	Administración y Comercio	94,7%	38,7%	 6,7 	54,0%	s/i	 $ 780.000 
1155	IP AIEP	4 años	Técnico en Administración de la Producción Agropecuaria y Agroindustrial	Administración y Comercio	99,5%	29,9%	 6,6 	57,5%	 Menor a $400 mil 	 $ 1.074.454 
1209	CFT Cámara de Comercio de Santiago	2 años	Administración Comercial	Administración y Comercio	97,3%	40,7%	 6,6 	89,3%	s/i	 $ 1.080.292 
1206	IP La Araucana	4 años	Administración de Empresas	Administración y Comercio	99,3%	33,9%	 6,1 	81,4%	s/i	 $ 748.659 
1208	CFT Andrés Bello	3 años	Administración de Empresas	Administración y Comercio	99,2%	31,7%	 6,1 	61,7%	 Menor a $400 mil 	 $ 660.000 
1215	CFT Instituto Central de Capacitación Educacional ICCE	No	Administración de Empresas	Administración y Comercio	97,5%	46,4%	 9,0 	91,3%	s/i	 $ 906.308 
1217	CFT La Araucana	No	Administración de Empresas	Administración y Comercio	98,9%	43,9%	 6,6 	88,0%	 De $400 mil a $600 mil 	 $ 859.536 
1222	CFT Simón Bolívar	No	Administración de Empresas	Administración y Comercio	100,0%	68,7%	 7,5 	79,5%	 De $400 mil a $600 mil 	 $ 495.000 
1211	CFT Crecic	No	Administración de Empresas (Modulos)	Administración y Comercio	100,0%	32,1%	 6,8 	72,4%	s/i	 $ 728.219 
1213	CFT INACAP	6 años	Administración de Empresas mención Finanzas	Administración y Comercio	92,4%	38,1%	 6,8 	76,4%	 De $400 mil a $600 mil 	 $ 1.360.797 
1218	CFT Laplace	No	Administración de Empresas mención Gestión de Marketing, Personal o Finanzas	Administración y Comercio	100,0%	75,0%	 s/i 	87,5%	 De $400 mil a $600 mil 	 $ 620.000 
1203	IP Duoc UC	7 años	Administración de Empresas mención Marketing	Administración y Comercio	92,5%	21,9%	 6,7 	70,8%	 De $400 mil a $600 mil 	 $ 1.150.255 
1212	CFT DUOC UC	6 años	Administración de Empresas mención Marketing	Administración y Comercio	94,7%	26,5%	 6,5 	80,1%	 De $400 mil a $600 mil 	 $ 1.187.576 
1219	CFT Magnos	No	Administración de Empresas mención Marketing y Ventas	Administración y Comercio	96,4%	43,8%	 6,3 	86,4%	s/i	 $ 888.000 
1220	CFT Manpower	No	Administración de Empresas mención Marketing y Ventas o Comercio Exterior o Gestión de Capital Humano	Administración y Comercio	95,2%	40,7%	 7,3 	82,5%	s/i	 $ 1.085.000 
1207	IP Latinoamericano de Comercio Exterior	No	Administración de Empresas, mención Finanzas	Administración y Comercio	98,8%	53,4%	 7,0 	84,8%	s/i	 $ 770.064 
1193	Universidad de Las Américas	3 años	Técnico de Nivel Superior en Administración de Empresas	Administración y Comercio	92,6%	40,5%	 6,7 	81,8%	 De $600 mil a $800 mil 	 $ 1.217.842 
1216	CFT Iprosec	No	Técnico de Nivel Superior en Administración de Empresas	Administración y Comercio	100,0%	32,4%	 5,8 	49,1%	s/i	 $ 662.400 
1202	IP Dr. Virginio Gómez G.	4 años	Técnico en Administración	Administración y Comercio	98,0%	30,4%	 5,5 	73,5%	s/i	 $ 1.078.788 
1221	CFT Santo Tomás	4 años	Técnico en Administración	Administración y Comercio	98,3%	34,5%	 5,6 	58,5%	s/i	 $ 957.839 
1194	Universidad de Los Lagos	3 años	Técnico en Administración de Empresas	Administración y Comercio	100,0%	37,4%	 7,7 	80,0%	s/i	 $ 760.115 
1205	IP IPEGE	No	Técnico en Administración de Empresas	Administración y Comercio	99,3%	44,4%	 7,0 	75,8%	s/i	 $ 748.845 
1195	Universidad del Mar	2 años	Técnico Universitario en Administración de Empresas	Administración y Comercio	96,4%	57,0%	 7,5 	79,1%	 De $400 mil a $600 mil 	 $ 1.259.035 
1192	Universidad Autónoma de Chile	5 años	Técnico Universitario en Administración mención Gestión de Empresas	Administración y Comercio	93,7%	31,3%	 7,2 	74,1%	s/i	 $ 1.125.911 
1204	IP ESUCOMEX	2 años	Administración de Empresas con mención en RR.HH., Finanzas o Ventas	Administración y Comercio	96,6%	59,9%	 7,6 	89,4%	s/i	 $ 847.544 
1198	Universidad Arturo Prat	2 años	Técnico de Nivel Superior Administración de Empresas	Administración y Comercio	97,4%	47,0%	 7,3 	75,7%	s/i	 $ 921.149 
1200	IP AIEP	4 años	Técnico en Administración y Gestión  de Empresas	Administración y Comercio	98,2%	27,5%	 6,4 	83,6%	 De $400 mil a $600 mil 	 $ 1.070.159 
1199	Universidad de Viña del Mar	4 años	Tecnología en Administración de Empresas mención 	Administración y Comercio	96,3%	s/i	 7,6 	63,4%	 De $400 mil a $600 mil 	 $ 1.163.072 
1225	IP Duoc UC	7 años	Administración de Recursos Humanos	Administración y Comercio	99,0%	22,1%	 7,0 	85,5%	 De $400 mil a $600 mil 	 $ 1.165.103 
1226	CFT DUOC UC	6 años	Administración de Recursos Humanos	Administración y Comercio	98,5%	16,1%	 6,2 	88,9%	 De $400 mil a $600 mil 	 $ 1.191.002 
1238	IP Los Leones	4 años	Administración de Negocios y Ventas	Administración y Comercio	100,0%	39,8%	 6,5 	81,3%	s/i	 $ 948.905 
1237	IP Duoc UC	7 años	Administración de Ventas	Administración y Comercio	89,8%	33,3%	 6,9 	87,9%	s/i	 $ 1.183.069 
1240	IP Duoc UC	7 años	Administración Financiera	Administración y Comercio	96,8%	23,5%	 6,9 	82,9%	 De $400 mil a $600 mil 	 $ 1.156.750 
1242	CFT DUOC UC	6 años	Administración Financiera	Administración y Comercio	95,9%	23,3%	 6,3 	91,2%	 De $600 mil a $800 mil 	 $ 1.200.000 
1241	IP Instituto de Estudios Bancarios Guillermo Subercaseaux	4 años	Técnico en Gestión de Servicios Financieros	Administración y Comercio	98,5%	36,6%	 6,4 	83,8%	 De $600 mil a $800 mil 	 $ 1.250.000 
1278	CFT Cámara de Comercio de Santiago	2 años	Administración en Comercio Exterior	Administración y Comercio	97,1%	55,7%	 6,9 	88,8%	 De $400 mil a $600 mil 	 $ 1.071.471 
1274	IP Duoc UC	7 años	Comercio Exterior	Administración y Comercio	95,7%	28,1%	 7,6 	79,2%	s/i	 $ 1.168.200 
1275	IP ESUCOMEX	2 años	Comercio Exterior	Administración y Comercio	95,3%	60,8%	 7,4 	85,1%	s/i	 $ 841.674 
1277	IP Latinoamericano de Comercio Exterior	No	Comercio Exterior	Administración y Comercio	98,6%	52,2%	 8,5 	91,7%	 De $600 mil a $800 mil 	 $ 709.353 
1279	CFT DUOC UC	6 años	Comercio Exterior	Administración y Comercio	95,2%	32,5%	 6,3 	89,0%	 De $400 mil a $600 mil 	 $ 1.200.000 
1281	CFT INACAP	6 años	Comercio Exterior	Administración y Comercio	94,7%	35,1%	 7,0 	72,9%	 De $400 mil a $600 mil 	 $ 1.235.663 
1282	CFT Simón Bolívar	No	Comercio Exterior	Administración y Comercio	100,0%	22,5%	 7,2 	76,8%	 De $400 mil a $600 mil 	 $ 495.000 
1276	IP Instituto de Estudios Bancarios Guillermo Subercaseaux	4 años	Técnico en Comercio Internacional	Administración y Comercio	87,5%	50,0%	 6,9 	86,2%	s/i	 $ 1.250.000 
1326	CFT Simón Bolívar	No	Contabilidad	Administración y Comercio	98,8%	60,0%	 7,0 	81,1%	 De $400 mil a $600 mil 	 $ 495.000 
1314	Universidad de Los Lagos	3 años	Contabilidad General	Administración y Comercio	100,0%	22,7%	 s/i 	96,7%	s/i	 $ 914.965 
1315	IP AIEP	4 años	Contabilidad General	Administración y Comercio	99,3%	25,6%	 6,3 	82,8%	 De $400 mil a $600 mil 	 $ 1.068.033 
1317	IP ESUCOMEX	2 años	Contabilidad General	Administración y Comercio	98,3%	54,4%	 7,1 	90,7%	s/i	 $ 827.575 
1318	IP La Araucana	4 años	Contabilidad General	Administración y Comercio	99,3%	38,7%	 6,0 	80,8%	s/i	 $ 779.443 
1320	IP Los Leones	4 años	Contabilidad General	Administración y Comercio	98,6%	47,9%	 6,8 	68,1%	s/i	 $ 986.974 
1321	CFT Andrés Bello	3 años	Contabilidad General	Administración y Comercio	100,0%	s/i	 6,4 	70,4%	s/i	 $ 660.000 
1322	CFT INACAP	6 años	Contabilidad General	Administración y Comercio	99,1%	27,6%	 6,8 	76,0%	 De $400 mil a $600 mil 	 $ 1.355.371 
1324	CFT La Araucana	No	Contabilidad General	Administración y Comercio	99,5%	41,7%	 6,8 	86,3%	s/i	 $ 879.058 
1325	CFT Santo Tomás	4 años	Contabilidad General	Administración y Comercio	100,0%	32,5%	 7,1 	31,7%	s/i	 $ 909.427 
1327	CFT UValpo	No	Contabilidad General	Administración y Comercio	98,3%	39,3%	 s/i 	85,2%	s/i	 $ 1.004.258 
1319	IP Latinoamericano de Comercio Exterior	No	Contabilidad mención Auditoría	Administración y Comercio	100,0%	42,9%	 7,6 	100,0%	s/i	 $ 710.307 
1329	IP Duoc UC	7 años	Contabilidad General mención Legislación Tributaria	Administración y Comercio	99,4%	22,9%	 7,4 	86,3%	 De $400 mil a $600 mil 	 $ 1.151.770 
1330	CFT DUOC UC	6 años	Contabilidad General mención Legislación Tributaria	Administración y Comercio	98,1%	26,7%	 6,6 	90,7%	 De $600 mil a $800 mil 	 $ 1.150.000 
1331	CFT EDUCAP	No	Gestión Contable y Tributaria	Administración y Comercio	100,0%	15,0%	 6,1 	54,5%	s/i	 $ 627.000 
1413	CFT Santo Tomás	4 años	Cocina Internacional y Tradicional Chilena	Administración y Comercio	98,5%	31,6%	 7,2 	40,0%	 Menor a $400 mil 	 $ 1.260.771 
1409	CFT ICEL	No	Cocina Nacional e Internacional	Administración y Comercio	98,5%	65,7%	 6,4 	55,4%	s/i	 $ 859.000 
1406	IP Duoc UC	7 años	Gastronomía	Administración y Comercio	93,1%	29,8%	 8,5 	33,8%	s/i	 $ 1.315.246 
1408	CFT DUOC UC	6 años	Gastronomía	Administración y Comercio	97,6%	31,6%	 7,7 	58,1%	 Menor a $400 mil 	 $ 1.630.000 
1410	CFT INACAP	6 años	Gastronomía Internacional	Administración y Comercio	92,3%	36,0%	 7,6 	43,9%	 Menor a $400 mil 	 $ 1.634.850 
1407	CFT Diego Portales	No	Gastronomía y Cocina Internacional	Administración y Comercio	96,2%	52,6%	 8,7 	52,2%	 Menor a $400 mil 	 $ 1.123.755 
1412	CFT Juan Bohon	No	Gastronomía y Cocina Internacional	Administración y Comercio	100,0%	42,4%	 6,2 	26,9%	s/i	 $ 979.000 
1404	IP de Chile	4 años	Técnico en Gastronomía	Administración y Comercio	98,4%	47,4%	 7,4 	57,2%	s/i	 $ 1.120.390 
1414	CFT INACAP	6 años	Gestión y Control de Calidad	Administración y Comercio	98,2%	38,5%	 6,2 	80,8%	 De $400 mil a $600 mil 	 $ 1.121.583 
1433	CFT La Araucana	No	Administración de Sistemas Logísticos	Administración y Comercio	98,3%	42,5%	 7,0 	92,3%	s/i	 $ 866.878 
1432	CFT INACAP	6 años	Logística	Administración y Comercio	97,8%	47,1%	 6,5 	95,8%	s/i	 $ 1.302.028 
1430	CFT Cámara de Comercio de Santiago	2 años	Logística Operativa	Administración y Comercio	99,2%	44,7%	 6,4 	96,8%	s/i	 $ 1.132.946 
1431	CFT DUOC UC	6 años	Técnico en Gestión Logística	Administración y Comercio	98,1%	33,3%	 s/i 	100,0%	s/i	 $ 1.200.000 
1483	CFT La Araucana	No	Producción y Gestión de Eventos	Administración y Comercio	97,9%	50,0%	 7,3 	58,1%	s/i	 $ 775.018 
1534	CFT del Medio Ambiente	3 años	Ecoturismo	Administración y Comercio	89,7%	27,3%	 s/i 	54,8%	s/i	 $ 1.360.800 
1536	CFT Fontanar	No	Servicios Gastronómicos Hoteleros y de Restaurante	Administración y Comercio	92,7%	40,9%	 7,5 	40,7%	s/i	 $ 1.091.748 
1530	Universidad del Mar	2 años	Técnico de Nivel Superior en Turismo y Hotelería	Administración y Comercio	89,8%	51,3%	 7,9 	60,0%	s/i	 $ 1.344.000 
1533	IP Santo Tomás	4 años	Técnico en Turismo	Administración y Comercio	97,1%	33,5%	 7,5 	36,4%	 Menor a $400 mil 	 $ 915.780 
1538	CFT Los Leones	No	Turismo	Administración y Comercio	98,2%	63,7%	 7,8 	59,2%	 De $400 mil a $600 mil 	 $ 562.767 
1539	CFT Simón Bolívar	No	Turismo y Hotelería	Administración y Comercio	100,0%	61,1%	 6,8 	50,7%	 Menor a $400 mil 	 $ 495.000 
